Campaign,Extension Type,Callout Text,Status,Category
Demyxil - HU - Teste CPA,Callout,Best Offer Guarantee,Active,SAVINGS
Demyxil - HU - Teste CPA,Callout,Save Up to $780,Active,SAVINGS
Demyxil - HU - Teste CPA,Callout,Don't Miss This Out,Active,CTA
Demyxil - HU - Teste CPA,Callout,Demyxil Order Now,Active,CTA
Demyxil - HU - Teste CPA,Callout,Last Units Available,Active,SCARCITY
Demyxil - HU - Teste CPA,Callout,Money Back Guarantee,Active,GUARANTEE
Demyxil - HU - Teste CPA,Callout,NA Days to Try With Money Back,Active,GUARANTEE
Demyxil - HU - Teste CPA,Callout,Free and Fast Shipping,Active,DELIVERY
Demyxil - HU - Teste CPA,Callout,Free Shipping,Active,DELIVERY
Demyxil - HU - Teste CPA,Callout,Lots of Happy Customers,Active,PRODUCT
